"Journal Data Filtered By:  Selected JCR Year: 2016 Selected Editions: SCIE,SSCI Selected Categories: 'PATHOLOGY' Selected Category Scheme: WoS",,,,,,,,,,,,,,,,
Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
1,Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,1553-4006,"4,105",26.853,26.735,26.330,2.609,23,5.5,6.9,0.013040,9.962,0.000,99.367,1.49339
2,ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,0001-6322,"16,462",12.213,11.613,11.297,4.349,109,6.9,6.5,0.036980,4.410,75.230,97.844,4.24727
3,JOURNAL OF PATHOLOGY,J PATHOL,0022-3417,"16,079",6.894,6.739,6.868,1.678,149,8.4,6.6,0.026920,2.285,84.560,93.464,3.08818
4,BRAIN PATHOLOGY,BRAIN PATHOL,1015-6305,"4,580",6.624,6.453,5.298,1.459,74,7.6,8.1,0.008440,1.899,95.950,93.694,0.96886
5,MODERN PATHOLOGY,MODERN PATHOL,0893-3952,"13,061",5.728,5.467,6.155,1.258,151,7.1,6.3,0.024940,1.989,96.690,94.304,2.86410
6,AMERICAN JOURNAL OF SURGICAL PATHOLOGY,AM J SURG PATHOL,0147-5185,"20,369",5.363,4.985,5.164,1.698,189,10.0,6.8,0.024380,1.593,97.880,94.615,2.79795
7,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,NEUROPATH APPL NEURO,0305-1846,"3,413",5.347,5.218,4.845,1.692,39,8.0,7.1,0.006380,1.562,69.230,89.424,0.73305
8,Seminars in Immunopathology,SEMIN IMMUNOPATHOL,1863-2297,"2,547",5.296,5.185,6.873,1.679,56,4.3,7.0,0.009620,2.506,0.000,85.816,1.10404
9,LABORATORY INVESTIGATION,LAB INVEST,0023-6837,"10,533",4.857,4.785,4.401,0.922,115,>10.0,7.5,0.011990,1.277,97.390,88.566,1.37415
10,Disease Models & Mechanisms,DIS MODEL MECH,1754-8403,"3,915",4.691,4.486,5.394,0.913,126,3.9,7.4,0.014960,1.861,88.890,79.645,1.71664
11,JOURNAL OF MOLECULAR DIAGNOSTICS,J MOL DIAGN,1525-1578,"3,391",4.526,4.184,4.646,1.233,86,5.2,4.9,0.009330,1.663,96.510,86.709,1.06993
12,AMERICAN JOURNAL OF PATHOLOGY,AM J PATHOL,0002-9440,"39,447",4.057,3.973,4.766,0.866,268,>10.0,7.8,0.043260,1.544,94.030,85.443,4.96669
13,CANCER CYTOPATHOLOGY,CANCER CYTOPATHOL,1934-662X,"2,551",3.818,3.125,3.931,1.198,91,5.0,5.3,0.004240,0.891,94.510,75.384,0.48572
14,CELLULAR ONCOLOGY,CELL ONCOL,2211-3428,"1,099",3.786,2.393,2.996,0.571,49,4.5,6.6,0.001930,0.585,87.760,69.417,0.22101
15,HISTOPATHOLOGY,HISTOPATHOLOGY,0309-0167,"9,561",3.523,3.307,3.419,0.938,211,8.2,7.0,0.014660,1.002,87.200,67.533,1.67950
16,JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY,J NEUROPATH EXP NEUR,0022-3069,"8,483",3.503,3.351,4.124,0.694,98,>10.0,8.3,0.009260,1.402,91.840,73.178,1.06195
17,EXPERT REVIEW OF MOLECULAR DIAGNOSTICS,EXPERT REV MOL DIAGN,1473-7159,"2,196",3.100,2.990,3.075,0.745,110,5.1,4.4,0.004740,0.847,0.000,79.114,0.54344
18,HUMAN PATHOLOGY,HUM PATHOL,0046-8177,"12,738",3.014,2.844,2.899,0.663,279,9.5,6.8,0.016700,0.804,97.130,77.848,1.91592
19,ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,ARCH PATHOL LAB MED,0003-9985,"9,854",2.918,2.665,3.002,0.714,161,9.9,6.9,0.011470,0.849,85.090,72.862,1.31642
20,VIRCHOWS ARCHIV,VIRCHOWS ARCH,0945-6317,"5,636",2.848,2.728,2.709,0.579,152,8.5,6.4,0.007850,0.725,81.580,75.316,0.89980
21,PATHOLOGY,PATHOLOGY,0031-3025,"2,443",2.709,2.521,2.456,0.513,78,7.1,6.7,0.004250,0.744,93.590,74.051,0.48795
